Altitude,count
1500-1600,1
1300 mts,1
1550-1700m,1
4451 metros,1
3702,1
1400m,1
2000 m,1
above 1100m,1
1450 ~ 1700 m,1
1400ft,1
1800-2200,1
1795-1850,1
1855-1955,1
meters above sea level: 1.872,1
meters above sea level: 1.943,1
2000 ft,1
meters above sea level: 2.080,1
meters above sea level: 2.019,1
meters above sea level: 2.112,1
1750-1800,1
meters above sea level: 1.941,1
900-1500m,1
1520m-2200m,1
1400-1900m,1
1700 mts,1
1600 a 1900 msnm,1
1300~1400 m.s.l,1
5600-5760 metros,1
1770,1
above 1600 m,1
1250-1400 meter,1
1400 msm,1
2.560 msnm,1
-1,1
3500-5200 feet,1
800-1050m,1
170,1
1750m,1
1700-1850m,1
4000 psn,1
1600 on average,1
1850 msnm,1
439,1
900-1050m,1
1300 meters,1
11000 metros,1
1200-2000m,1
1800 mts,1
1400 meter above sea level,1
1442 m,1
1.65,1
1400 thru 1850,1
1200公尺,1
1400- 1900,1
1240 m,1
1800 meters (5900,1
1200-1300m dpl,1
1317,1
1679,1
1600 + meters above sea level,1
2285,1
huanuco,1
1560,1
1396,1
982,1
1268,1
5500 metros,1
1450 m,1
441,1
1200 a 1400,1
1180m,1
1338,1
533,1
4563,1
1059,1
775,1
1330,1
approx.1'500 metres a.s.l.,1
1813,1
900-1200mtr,1
1227,1
1650 msnm,1
4200 feet,1
1880,1
2100,1
1261,1
800公尺,1
1483,1
175,1
1600-1800msnm,1
16.8,1
1400-1900 psn,1
1653,1
1500-1750 msnm,1
1450 msnn,1
5000 pies,1
532,1
1089,1
900m,1
1850 m,1
700-800m,1
1300 m,1
1300-1400m,1
872,1
1473,1
1600 - 1800 m,1
4500 pies,1
900-1100,1
795 meters,1
